epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,103.138,1.81557,2.48138,1.06723,0.34655,0.14663,0.10757,0.05643,1.68955,1.60177,1.00033,0.0033251,0.0033251,0.0033251
2,195.963,1.73451,1.63666,1.01732,0.19993,0.18618,0.1412,0.07524,1.69613,1.46929,0.98673,0.00659252,0.00659252,0.00659252
3,284.218,1.74757,1.55334,1.01279,0.23275,0.20134,0.15913,0.08885,1.67294,1.40664,0.99219,0.00979393,0.00979393,0.00979393
4,373.011,1.72008,1.48576,1.00572,0.25927,0.21124,0.17999,0.09814,1.63609,1.36994,0.9793,0.009703,0.009703,0.009703
5,530.548,1.68219,1.42303,0.99359,0.29024,0.23751,0.21195,0.11667,1.59947,1.26761,0.97506,0.009604,0.009604,0.009604
6,617.844,1.65224,1.36566,0.98246,0.2963,0.23233,0.21296,0.11798,1.5998,1.28106,0.96289,0.009505,0.009505,0.009505
7,703.728,1.61576,1.32775,0.97852,0.28915,0.25262,0.21535,0.11946,1.54761,1.24896,0.96139,0.009406,0.009406,0.009406
8,1125.74,1.60221,1.2984,0.97045,0.34058,0.25384,0.23666,0.13287,1.5119,1.20615,0.95163,0.009307,0.009307,0.009307
9,1211.4,1.58492,1.27817,0.968,0.33434,0.25153,0.24075,0.13609,1.51932,1.19924,0.95531,0.009208,0.009208,0.009208
10,1297.71,1.57198,1.24615,0.96636,0.34179,0.27184,0.24973,0.13867,1.49148,1.18665,0.94768,0.009109,0.009109,0.009109
11,1384.44,1.54973,1.2323,0.9606,0.34045,0.26147,0.23973,0.13542,1.49194,1.18393,0.94605,0.00901,0.00901,0.00901
12,1473.8,1.54673,1.21397,0.95934,0.34142,0.27079,0.2526,0.14263,1.47987,1.1539,0.9445,0.008911,0.008911,0.008911
13,1559.34,1.53953,1.19939,0.95584,0.34698,0.26084,0.2532,0.14425,1.50048,1.16668,0.94833,0.008812,0.008812,0.008812
14,1644.58,1.51539,1.17575,0.95056,0.35524,0.27914,0.2666,0.14934,1.46576,1.12547,0.93992,0.008713,0.008713,0.008713
15,1736.93,1.52102,1.17244,0.95205,0.37786,0.28459,0.26955,0.15314,1.45746,1.1115,0.93951,0.008614,0.008614,0.008614
16,1824.93,1.51472,1.16752,0.94949,0.37157,0.29051,0.27458,0.1556,1.45648,1.10927,0.93637,0.008515,0.008515,0.008515
17,1910.17,1.49671,1.14754,0.94868,0.37137,0.28459,0.27326,0.15497,1.45672,1.12008,0.93802,0.008416,0.008416,0.008416
18,1996.38,1.50642,1.14273,0.94574,0.38041,0.29134,0.28015,0.15835,1.43236,1.08059,0.933,0.008317,0.008317,0.008317
19,2082.07,1.49487,1.13698,0.9445,0.38013,0.28814,0.27982,0.15985,1.44189,1.10209,0.93697,0.008218,0.008218,0.008218
20,2167.22,1.48784,1.12693,0.94537,0.39013,0.2939,0.27819,0.15813,1.44039,1.08793,0.9317,0.008119,0.008119,0.008119
21,2255.75,1.47919,1.12161,0.94136,0.38396,0.29266,0.27615,0.15704,1.42905,1.08545,0.92913,0.00802,0.00802,0.00802
22,2344.66,1.47562,1.11358,0.93982,0.38181,0.29766,0.28618,0.16234,1.42191,1.06663,0.93065,0.007921,0.007921,0.007921
23,2834.32,1.4697,1.10319,0.93837,0.39356,0.29733,0.2891,0.16557,1.41983,1.0699,0.92977,0.007822,0.007822,0.007822
24,2919.3,1.4675,1.09967,0.93704,0.38263,0.29786,0.28855,0.16624,1.41154,1.05915,0.92865,0.007723,0.007723,0.007723
25,3003.6,1.45302,1.09249,0.93742,0.38124,0.30325,0.28767,0.16309,1.41719,1.07398,0.92492,0.007624,0.007624,0.007624
26,3088.17,1.46158,1.09036,0.93818,0.4176,0.2987,0.29401,0.16911,1.40468,1.05827,0.92546,0.007525,0.007525,0.007525
27,3173.02,1.44998,1.08612,0.93435,0.40312,0.2971,0.29343,0.16695,1.41415,1.0622,0.92675,0.007426,0.007426,0.007426
28,3258.61,1.4502,1.08092,0.93407,0.41446,0.29736,0.29359,0.1697,1.40608,1.05219,0.92379,0.007327,0.007327,0.007327
29,3344.24,1.44866,1.07206,0.93312,0.39019,0.29794,0.2911,0.1678,1.40782,1.05196,0.9217,0.007228,0.007228,0.007228
30,3429.33,1.44718,1.06587,0.93218,0.40981,0.30878,0.30106,0.1713,1.397,1.04497,0.92344,0.007129,0.007129,0.007129
31,3515.25,1.44492,1.06978,0.93297,0.41671,0.29526,0.29934,0.17086,1.39695,1.04544,0.92487,0.00703,0.00703,0.00703
32,3601.83,1.43039,1.05834,0.92856,0.41108,0.31081,0.29679,0.17119,1.39287,1.03898,0.923,0.006931,0.006931,0.006931
33,3687.58,1.43035,1.05402,0.92758,0.41079,0.30575,0.30282,0.17328,1.39298,1.03646,0.92027,0.006832,0.006832,0.006832
34,3773.1,1.42854,1.05284,0.92648,0.41827,0.31193,0.30311,0.17405,1.3873,1.03461,0.91979,0.006733,0.006733,0.006733
35,3859.29,1.42395,1.04427,0.92648,0.42079,0.30666,0.30737,0.17655,1.38514,1.03078,0.9202,0.006634,0.006634,0.006634
36,3944.45,1.42254,1.04441,0.92954,0.41401,0.30264,0.30109,0.17407,1.38395,1.0332,0.92028,0.006535,0.006535,0.006535
37,4029.99,1.42235,1.03939,0.92626,0.41656,0.31453,0.30622,0.17575,1.37902,1.02743,0.9183,0.006436,0.006436,0.006436
38,4117.98,1.42117,1.03615,0.92683,0.42375,0.3141,0.31059,0.17903,1.381,1.02123,0.91903,0.006337,0.006337,0.006337
39,4629.74,1.41665,1.03583,0.92443,0.41243,0.31703,0.30902,0.17789,1.38147,1.02147,0.91748,0.006238,0.006238,0.006238
40,4715.48,1.4134,1.02984,0.92561,0.41507,0.3077,0.30612,0.17665,1.37057,1.02091,0.91578,0.006139,0.006139,0.006139
41,4801.59,1.41683,1.02802,0.92433,0.43108,0.3141,0.31201,0.17858,1.3738,1.01245,0.91577,0.00604,0.00604,0.00604
42,4887.02,1.40245,1.01984,0.92241,0.4251,0.31552,0.31626,0.18246,1.36891,1.00463,0.91545,0.005941,0.005941,0.005941
43,4979.03,1.40049,1.0174,0.92102,0.4195,0.3151,0.31294,0.18073,1.37189,1.01276,0.91457,0.005842,0.005842,0.005842
44,5063.9,1.39501,1.00975,0.92118,0.43083,0.31586,0.31617,0.18201,1.364,1.00336,0.91395,0.005743,0.005743,0.005743
