epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,106.732,3.10343,2.85347,2.2334,0.20264,0.13809,0.08509,0.03728,2.18711,1.71818,1.31914,0.0033251,0.0033251,0.0033251
2,201.158,2.11145,1.75759,1.30287,0.1916,0.154,0.11283,0.05247,2.0411,1.61735,1.18789,0.00659252,0.00659252,0.00659252
3,292.378,2.00339,1.66238,1.21044,0.19687,0.1812,0.13637,0.06779,1.89552,1.48135,1.14482,0.00979393,0.00979393,0.00979393
4,381.496,1.90584,1.56614,1.1627,0.22792,0.20657,0.15783,0.08053,1.77838,1.39646,1.10777,0.009703,0.009703,0.009703
5,527.382,1.8267,1.48217,1.12812,0.25236,0.21491,0.17496,0.09187,1.71078,1.32876,1.07644,0.009604,0.009604,0.009604
6,617.973,1.77073,1.41655,1.10304,0.27554,0.2154,0.18396,0.09494,1.7023,1.31559,1.06791,0.009505,0.009505,0.009505
7,707.057,1.72036,1.37356,1.09275,0.29138,0.23887,0.20809,0.10982,1.62844,1.26401,1.05392,0.009406,0.009406,0.009406
8,1064.08,1.69347,1.33151,1.0749,0.30323,0.22839,0.20979,0.11057,1.59802,1.22785,1.04424,0.009307,0.009307,0.009307
9,1153.94,1.66979,1.30956,1.07207,0.30655,0.23755,0.21336,0.11562,1.5748,1.20242,1.03101,0.009208,0.009208,0.009208
10,1244.41,1.65323,1.27799,1.06809,0.29445,0.24245,0.21816,0.11718,1.54308,1.20145,1.02463,0.009109,0.009109,0.009109
11,1334.39,1.62279,1.25696,1.05848,0.31718,0.2497,0.22101,0.11974,1.5604,1.17582,1.02865,0.00901,0.00901,0.00901
12,1427.79,1.60925,1.2385,1.05405,0.36143,0.25428,0.23599,0.12656,1.5239,1.14467,1.01905,0.008911,0.008911,0.008911
13,1517.75,1.60242,1.22304,1.04957,0.31608,0.25709,0.23339,0.12531,1.54668,1.1513,1.0229,0.008812,0.008812,0.008812
14,1606.69,1.57473,1.19716,1.04081,0.32492,0.24934,0.23407,0.12773,1.5216,1.1517,1.01558,0.008713,0.008713,0.008713
15,1697.92,1.57848,1.19523,1.04185,0.34528,0.26582,0.24187,0.13242,1.5063,1.11931,1.01256,0.008614,0.008614,0.008614
16,1788.87,1.56644,1.18707,1.03748,0.34263,0.26557,0.24453,0.13376,1.4919,1.10987,1.00761,0.008515,0.008515,0.008515
17,1883.67,1.54692,1.16484,1.03601,0.3428,0.25946,0.24436,0.13201,1.49253,1.12639,1.01405,0.008416,0.008416,0.008416
18,1975.35,1.55615,1.16072,1.03275,0.34933,0.26904,0.25183,0.13821,1.46329,1.09958,1.00123,0.008317,0.008317,0.008317
19,2065.13,1.53952,1.15276,1.03002,0.34517,0.27003,0.24984,0.13728,1.4708,1.09573,1.00169,0.008218,0.008218,0.008218
20,2153.52,1.53322,1.14176,1.03065,0.35838,0.26647,0.24762,0.13681,1.47134,1.08543,0.99816,0.008119,0.008119,0.008119
21,2244.06,1.52243,1.13578,1.02612,0.34777,0.27591,0.25221,0.13933,1.46115,1.09329,0.99685,0.00802,0.00802,0.00802
22,2335.75,1.51587,1.12569,1.02167,0.35086,0.27719,0.25796,0.14329,1.4485,1.07724,0.99319,0.007921,0.007921,0.007921
23,2802.85,1.51064,1.11931,1.02029,0.35668,0.2794,0.25723,0.14214,1.45329,1.0784,0.99233,0.007822,0.007822,0.007822
24,2892.46,1.50494,1.11328,1.01759,0.36178,0.28168,0.26705,0.14854,1.43441,1.05874,0.98746,0.007723,0.007723,0.007723
25,2980.82,1.49037,1.10367,1.01849,0.3586,0.28714,0.26887,0.14859,1.43376,1.05242,0.98796,0.007624,0.007624,0.007624
26,3069.57,1.49552,1.10346,1.01827,0.3867,0.28073,0.26989,0.15051,1.42474,1.05031,0.9881,0.007525,0.007525,0.007525
27,3158.7,1.4855,1.09603,1.01459,0.37529,0.28002,0.26802,0.14821,1.44349,1.05849,0.98813,0.007426,0.007426,0.007426
28,3248.71,1.48479,1.09313,1.01411,0.37501,0.27941,0.26923,0.14902,1.4283,1.05029,0.98519,0.007327,0.007327,0.007327
29,3338.07,1.48273,1.08154,1.01224,0.37733,0.28337,0.26969,0.14865,1.42877,1.04944,0.98506,0.007228,0.007228,0.007228
30,3427.17,1.4781,1.07379,1.01008,0.3682,0.28759,0.2727,0.15018,1.41731,1.04048,0.98454,0.007129,0.007129,0.007129
31,3516.28,1.47942,1.08031,1.01187,0.36728,0.28823,0.27455,0.1521,1.41907,1.0485,0.98643,0.00703,0.00703,0.00703
32,3606.8,1.46125,1.06631,1.0045,0.36786,0.29062,0.27561,0.15481,1.41678,1.0376,0.98155,0.006931,0.006931,0.006931
33,3696.27,1.46455,1.06326,1.00532,0.39041,0.2882,0.27999,0.15724,1.41306,1.03506,0.98161,0.006832,0.006832,0.006832
34,3785.62,1.45876,1.05905,1.00262,0.37874,0.30074,0.28192,0.15827,1.40519,1.02529,0.97879,0.006733,0.006733,0.006733
35,3875.77,1.45385,1.04967,1.00244,0.37929,0.29464,0.28157,0.15782,1.40741,1.02657,0.98086,0.006634,0.006634,0.006634
36,3964.08,1.45239,1.05337,1.00522,0.3984,0.28515,0.28028,0.15741,1.39972,1.02933,0.97982,0.006535,0.006535,0.006535
37,4053.28,1.45047,1.04732,1.00158,0.39154,0.2939,0.28421,0.158,1.39467,1.01922,0.97648,0.006436,0.006436,0.006436
38,4143.84,1.45024,1.04296,1.0028,0.39545,0.29811,0.28686,0.16035,1.40206,1.01356,0.97806,0.006337,0.006337,0.006337
39,4634.76,1.44385,1.04318,0.99921,0.39438,0.29678,0.286,0.1609,1.39622,1.01282,0.97791,0.006238,0.006238,0.006238
