epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,258.983,3.01604,3.00515,2.59068,0.29829,0.13511,0.08809,0.03986,2.23732,1.94837,1.76825,0.00332921,0.00332921,0.00332921
2,492.479,2.20748,2.08877,1.69767,0.16596,0.16438,0.12112,0.05946,2.04532,1.81037,1.55219,0.00659659,0.00659659,0.00659659
3,739.764,2.07722,1.96316,1.5661,0.19728,0.20931,0.15007,0.07542,1.91658,1.70733,1.48456,0.00979796,0.00979796,0.00979796
4,955.868,1.98366,1.8718,1.50079,0.24713,0.22072,0.17805,0.09407,1.81108,1.60341,1.4041,0.009703,0.009703,0.009703
5,1170.5,1.91026,1.76679,1.44527,0.2703,0.23283,0.19812,0.10492,1.76155,1.52334,1.37403,0.009604,0.009604,0.009604
6,1413.66,1.86532,1.68862,1.41296,0.27691,0.22961,0.19349,0.10262,1.76108,1.5271,1.36092,0.009505,0.009505,0.009505
7,1618.75,1.82585,1.63706,1.38801,0.28058,0.2366,0.21091,0.11437,1.71178,1.47499,1.33313,0.009406,0.009406,0.009406
8,1860.04,1.79468,1.57873,1.37102,0.3194,0.25835,0.23051,0.12531,1.68144,1.40765,1.32426,0.009307,0.009307,0.009307
9,2088.93,1.76418,1.54321,1.34962,0.33181,0.26287,0.23924,0.13076,1.66925,1.38466,1.31522,0.009208,0.009208,0.009208
10,3478.23,1.74354,1.50346,1.33957,0.31477,0.26174,0.23405,0.12892,1.64872,1.37534,1.3019,0.009109,0.009109,0.009109
11,3696.16,1.7316,1.48976,1.33587,0.34826,0.27597,0.25318,0.13975,1.62035,1.34076,1.28464,0.00901,0.00901,0.00901
12,3946.5,1.71393,1.46246,1.31743,0.35841,0.28,0.26542,0.14888,1.60377,1.32079,1.27773,0.008911,0.008911,0.008911
13,4165.64,1.69869,1.44045,1.31153,0.34678,0.29626,0.27052,0.15067,1.6032,1.30706,1.28011,0.008812,0.008812,0.008812
14,4385.76,1.68388,1.41165,1.30513,0.35712,0.28684,0.27093,0.15054,1.59209,1.31219,1.26945,0.008713,0.008713,0.008713
15,4652.14,1.68129,1.41304,1.30327,0.37242,0.2903,0.27659,0.15427,1.57974,1.28652,1.26089,0.008614,0.008614,0.008614
16,4873.81,1.65861,1.38157,1.29037,0.39322,0.29049,0.28206,0.15941,1.56576,1.27723,1.25507,0.008515,0.008515,0.008515
17,6142.57,1.65894,1.38205,1.29127,0.39167,0.30026,0.28978,0.16259,1.56131,1.26882,1.25117,0.008416,0.008416,0.008416
18,6454.06,1.65285,1.36515,1.28411,0.3753,0.30666,0.28869,0.1624,1.55827,1.25647,1.24653,0.008317,0.008317,0.008317
19,7542.34,1.63466,1.35132,1.2735,0.39574,0.30243,0.29624,0.1666,1.54854,1.25409,1.24471,0.008218,0.008218,0.008218
20,7752.5,1.62289,1.33633,1.27597,0.39261,0.31027,0.29943,0.1687,1.5463,1.24454,1.2413,0.008119,0.008119,0.008119
21,7966.66,1.62903,1.33669,1.27243,0.40784,0.30848,0.2987,0.16836,1.53982,1.24143,1.23807,0.00802,0.00802,0.00802
22,9139.02,1.61943,1.31976,1.27275,0.39543,0.3039,0.29906,0.16974,1.53929,1.24013,1.23802,0.007921,0.007921,0.007921
23,9371.25,1.61083,1.31548,1.26108,0.39629,0.31728,0.30888,0.17491,1.5372,1.22278,1.23323,0.007822,0.007822,0.007822
24,9591.91,1.59997,1.30063,1.25848,0.40049,0.31695,0.30665,0.17363,1.5276,1.21786,1.23128,0.007723,0.007723,0.007723
25,9803.27,1.59838,1.30012,1.25664,0.41022,0.32087,0.31434,0.17724,1.52148,1.21213,1.22853,0.007624,0.007624,0.007624
26,10017.9,1.59407,1.29624,1.26127,0.40166,0.32113,0.30979,0.17693,1.51319,1.21718,1.22449,0.007525,0.007525,0.007525
27,10253.7,1.58692,1.28057,1.25232,0.42727,0.30829,0.30813,0.17551,1.51448,1.21231,1.2234,0.007426,0.007426,0.007426
28,10476.9,1.58791,1.27795,1.25215,0.40416,0.32646,0.31524,0.17977,1.50529,1.19745,1.21922,0.007327,0.007327,0.007327
29,12047,1.58288,1.27676,1.24737,0.41857,0.32142,0.32062,0.18193,1.50079,1.20041,1.21742,0.007228,0.007228,0.007228
30,12251.1,1.57721,1.26611,1.24506,0.42569,0.32604,0.32211,0.18287,1.50075,1.18185,1.21546,0.007129,0.007129,0.007129
31,13439,1.575,1.26348,1.24389,0.4212,0.32629,0.32382,0.18322,1.50415,1.18762,1.21591,0.00703,0.00703,0.00703
32,13655.9,1.57395,1.25971,1.23866,0.4257,0.33074,0.32825,0.18572,1.49852,1.18054,1.21649,0.006931,0.006931,0.006931
33,13873.1,1.56347,1.25121,1.2375,0.42957,0.3289,0.32908,0.1875,1.49501,1.17815,1.21398,0.006832,0.006832,0.006832
34,14109.2,1.57408,1.25522,1.23938,0.44511,0.32823,0.33152,0.18936,1.4894,1.17517,1.20905,0.006733,0.006733,0.006733
35,14336.4,1.55958,1.24165,1.23209,0.42112,0.34204,0.33535,0.19181,1.48561,1.17094,1.20795,0.006634,0.006634,0.006634
36,14560.9,1.55858,1.24239,1.23437,0.42774,0.33757,0.33475,0.19213,1.48282,1.16798,1.20299,0.006535,0.006535,0.006535
37,14796.1,1.55481,1.23611,1.23173,0.43744,0.33287,0.33138,0.18971,1.48382,1.16576,1.20404,0.006436,0.006436,0.006436
38,15046.5,1.54701,1.22491,1.22866,0.4383,0.33692,0.33581,0.19307,1.48372,1.16685,1.20418,0.006337,0.006337,0.006337
39,16669.4,1.54178,1.22416,1.2265,0.44611,0.33588,0.33756,0.19347,1.4794,1.16401,1.20428,0.006238,0.006238,0.006238
