epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,135.508,1.59188,1.81297,1.01914,0.3102,0.25052,0.21507,0.1208,1.44857,1.17388,0.94545,0.0033251,0.0033251,0.0033251
2,264.584,1.51472,1.24164,0.96445,0.3598,0.27133,0.2517,0.14091,1.46169,1.12377,0.93699,0.00659252,0.00659252,0.00659252
3,789.005,1.54344,1.22911,0.96301,0.35481,0.26898,0.25081,0.14177,1.46016,1.17542,0.9373,0.00979393,0.00979393,0.00979393
4,913.996,1.53744,1.18803,0.96201,0.37256,0.27508,0.26863,0.1497,1.4561,1.15374,0.94074,0.009703,0.009703,0.009703
5,1032.86,1.50676,1.15635,0.9534,0.4075,0.3009,0.2888,0.16527,1.41518,1.07564,0.93049,0.009604,0.009604,0.009604
6,1439.65,1.48367,1.11856,0.9448,0.38423,0.28591,0.28181,0.1595,1.42984,1.08506,0.935,0.009505,0.009505,0.009505
7,1562.33,1.44985,1.09149,0.94063,0.4204,0.3148,0.30804,0.17523,1.38961,1.04706,0.92882,0.009406,0.009406,0.009406
8,2176.8,1.43761,1.07482,0.93362,0.40454,0.31226,0.30458,0.17263,1.39339,1.03913,0.9275,0.009307,0.009307,0.009307
9,2300.52,1.4233,1.05812,0.93213,0.41316,0.32425,0.31376,0.18178,1.37009,1.0217,0.92093,0.009208,0.009208,0.009208
10,3162.58,1.4131,1.03843,0.9306,0.42852,0.32619,0.32318,0.18789,1.33813,1.00471,0.91456,0.009109,0.009109,0.009109
11,3291.95,1.39218,1.02612,0.92578,0.42388,0.32881,0.32455,0.18889,1.33641,1.00053,0.91589,0.00901,0.00901,0.00901
12,4006.01,1.38521,1.01365,0.92393,0.44806,0.33355,0.3362,0.19518,1.32647,0.9822,0.90909,0.008911,0.008911,0.008911
13,4129.67,1.38262,1.00335,0.92228,0.448,0.33243,0.33582,0.19537,1.33489,0.98682,0.91451,0.008812,0.008812,0.008812
14,4704.81,1.36033,0.98527,0.91719,0.45791,0.34828,0.34855,0.2027,1.3186,0.96134,0.90928,0.008713,0.008713,0.008713
15,4832.46,1.36253,0.98308,0.91773,0.45027,0.34432,0.34276,0.20023,1.30682,0.96278,0.90657,0.008614,0.008614,0.008614
16,5746.87,1.35927,0.97667,0.9166,0.45704,0.3493,0.34722,0.20139,1.30093,0.96303,0.90512,0.008515,0.008515,0.008515
17,5870.11,1.34134,0.95946,0.91498,0.46206,0.33645,0.34382,0.20189,1.31208,0.96092,0.90833,0.008416,0.008416,0.008416
18,6006.47,1.34806,0.95748,0.91213,0.46155,0.34853,0.35067,0.20656,1.29221,0.95271,0.90348,0.008317,0.008317,0.008317
19,6129.98,1.33497,0.94769,0.91114,0.45875,0.35884,0.35528,0.2087,1.29312,0.93821,0.9043,0.008218,0.008218,0.008218
20,6295.1,1.32855,0.94121,0.91186,0.47362,0.35496,0.357,0.20746,1.29645,0.94202,0.90389,0.008119,0.008119,0.008119
21,6421.27,1.3224,0.93754,0.90865,0.46506,0.35058,0.35148,0.20609,1.28997,0.9487,0.90027,0.00802,0.00802,0.00802
22,7542.95,1.31674,0.92651,0.90699,0.46839,0.35367,0.36077,0.21066,1.28983,0.9359,0.9022,0.007921,0.007921,0.007921
23,7687.51,1.31079,0.91878,0.9055,0.47696,0.35913,0.36649,0.21411,1.27318,0.92962,0.89947,0.007822,0.007822,0.007822
24,7851.39,1.30929,0.91737,0.90462,0.46827,0.36613,0.36392,0.21355,1.27627,0.92747,0.899,0.007723,0.007723,0.007723
25,7972.53,1.29485,0.90691,0.90405,0.46591,0.35649,0.36375,0.21189,1.27907,0.92668,0.89927,0.007624,0.007624,0.007624
26,8421.84,1.303,0.90976,0.90462,0.48767,0.36668,0.37373,0.2217,1.26799,0.91295,0.89718,0.007525,0.007525,0.007525
27,8558.08,1.29127,0.90046,0.9015,0.48259,0.36681,0.37249,0.22009,1.26387,0.91183,0.89723,0.007426,0.007426,0.007426
28,9185.57,1.2917,0.89611,0.9014,0.47672,0.37108,0.37264,0.21998,1.26995,0.91461,0.89859,0.007327,0.007327,0.007327
29,9310.76,1.2885,0.88734,0.89971,0.47377,0.37034,0.3732,0.21919,1.26501,0.91335,0.89711,0.007228,0.007228,0.007228
30,9435.76,1.28642,0.88251,0.89927,0.49812,0.36596,0.37689,0.22144,1.26794,0.91264,0.89679,0.007129,0.007129,0.007129
31,9558.84,1.28406,0.88541,0.90002,0.49222,0.35917,0.37319,0.22086,1.25563,0.90664,0.89446,0.00703,0.00703,0.00703
32,10078.1,1.2705,0.87312,0.89555,0.4914,0.36225,0.37411,0.21996,1.2599,0.91238,0.89598,0.006931,0.006931,0.006931
33,10201.6,1.26949,0.86725,0.89523,0.4849,0.37021,0.37614,0.22164,1.25589,0.90732,0.89618,0.006832,0.006832,0.006832
34,10323.7,1.26786,0.86655,0.8939,0.49774,0.36859,0.37841,0.2231,1.25501,0.89032,0.89542,0.006733,0.006733,0.006733
35,10448.6,1.26457,0.85881,0.89407,0.49156,0.36842,0.37612,0.22296,1.25271,0.90429,0.89397,0.006634,0.006634,0.006634
36,10591.1,1.26214,0.85781,0.89596,0.50076,0.37611,0.38459,0.22786,1.25515,0.89265,0.89496,0.006535,0.006535,0.006535
37,10715.2,1.259,0.85344,0.89343,0.49342,0.37391,0.3828,0.2252,1.24607,0.89161,0.89168,0.006436,0.006436,0.006436
38,10959.6,1.25843,0.84959,0.89362,0.50551,0.36943,0.38357,0.22848,1.25095,0.88897,0.89052,0.006337,0.006337,0.006337
39,11111.3,1.25407,0.84863,0.8917,0.5041,0.37448,0.38496,0.22818,1.24363,0.88879,0.89097,0.006238,0.006238,0.006238
40,11280.3,1.24995,0.84163,0.89207,0.48672,0.37626,0.38258,0.22606,1.24201,0.89046,0.89065,0.006139,0.006139,0.006139
41,11405.1,1.25042,0.83881,0.89046,0.49727,0.3774,0.38907,0.23058,1.24766,0.87853,0.89085,0.00604,0.00604,0.00604
42,11545.9,1.23963,0.83191,0.88953,0.48981,0.38189,0.39027,0.23069,1.24251,0.88146,0.89088,0.005941,0.005941,0.005941
43,11671.2,1.23804,0.82936,0.88823,0.50024,0.37956,0.38529,0.2275,1.241,0.8857,0.89032,0.005842,0.005842,0.005842
44,11860.7,1.23215,0.82206,0.88847,0.50545,0.37377,0.38956,0.23167,1.2396,0.88207,0.89046,0.005743,0.005743,0.005743
45,11992.8,1.24214,0.82858,0.8883,0.50359,0.38436,0.39432,0.23445,1.23514,0.87655,0.8884,0.005644,0.005644,0.005644
46,12725.3,1.23172,0.8204,0.88806,0.51157,0.38218,0.39293,0.2344,1.23181,0.87342,0.88776,0.005545,0.005545,0.005545
47,12858.6,1.2279,0.81851,0.88794,0.50054,0.38431,0.392,0.23243,1.23707,0.87685,0.88937,0.005446,0.005446,0.005446
48,12997.3,1.22696,0.81729,0.8876,0.5056,0.38368,0.39206,0.23365,1.23114,0.87696,0.88789,0.005347,0.005347,0.005347
49,13133.6,1.22657,0.81156,0.88739,0.50192,0.38061,0.39239,0.23295,1.23158,0.87283,0.88858,0.005248,0.005248,0.005248
50,13257.3,1.22822,0.80971,0.88579,0.50765,0.38663,0.39692,0.23594,1.2324,0.8681,0.88797,0.005149,0.005149,0.005149
51,13389.6,1.22426,0.80367,0.88523,0.5045,0.38149,0.39462,0.2354,1.22922,0.87052,0.88781,0.00505,0.00505,0.00505
52,13804.3,1.21042,0.79544,0.88538,0.50451,0.38517,0.39386,0.23491,1.23091,0.87188,0.88775,0.004951,0.004951,0.004951
53,13928.8,1.21649,0.79724,0.88373,0.51677,0.37992,0.39429,0.23449,1.23085,0.87378,0.88825,0.004852,0.004852,0.004852
